Lionel Messi (Prime), RW, FC Barcelona, Argentina, Value: 1500, https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg)/origin-imgresizer.eurosport.com/2015/06/07/1608439-34166200-2560-1440.jpg, 999000
Cristiano Ronaldo (Prime), LW, Real Madrid, Portugal, Value: 1500, https://www.mensjournal.com/.image/t_share/MTk2MTM1ODIyMDM1NDYxNjM3/cristiano-ronaldo-real-madrid-champions-league.jpg, 999001
Pelé, CF, Santos, Brazil, Value: 1500, https://www.sportsnet.ca/wp-content/uploads/2014/06/WC_1970.jpg, 999002
Diego Maradona, CAM, Napoli FC, Argentina, Value: 1500, https://i0.wp.com/thesefootballtimes.co/wp-content/uploads/2017/03/maradona86.jpg, 999003
Zinedine Zidane, CAM, Real Madrid, France, Value: 1300, https://pbs.twimg.com/media/CjY3noKXIAA9rZu.jpg, 999004
Johan Cruyff, CF/CAM, Ajax/FC Barcelona, Netherlands, Value: 1300, https://assets.goal.com/v3/assets/bltcc7a7ffd2fbf71f5/blt6208719b8aa55c7f/62fed65e81992935c2e84852/jq2yyzvabv761039zb60jy9u4.jpg, 999005
George Best, LW/RW, Manchester Utd, Northern Ireland, Value: 1300, https://img.rasset.ie/000068a1-1600.jpg, 999006
Franz Beckenbauer, CB, FC Bayern München, West Germany, Value: 1300, https://blogmediauploadbucket.s3.us-east-2.amazonaws.com/TSL/blog-image/Resized/800*600/0.2357270143873913.jpg, 999007
Ferenc Puskás, ST, Budapest Honvéd/Real Madrid, Hungary, Value: 1300, https://i.ytimg.com/vi/OCPkAt0OTLs/maxresdefault.jpg, 999008
Ronaldo Nazário, ST, Real Madrid/Inter, Brazil, Value: 1300, https://assets.goal.com/v3/assets/bltcc7a7ffd2fbf71f5/blt9d791f6b15f27c9c/60df77cf21d15821fe7e5469/4632f737dc6c464eecebcc7e95f111f4e922825e.jpg, 999009
Gerd Müller, ST/CF, FC Bayern München, West Germany, Value: 1250, https://cdn.artphotolimited.com/images/5f60bc53bd40b8173f11e855/1000x1000/gerd-muller-celebrates-his-second-goal.jpg, 999010
Alfredo Di Stéfano, ST/CF, Real Madrid, Argentina, Value: 1250, https://cdn1.i-scmp.com/sites/default/files/2014/07/08/808215c8aa372543c7a2a90c934bde31.jpg, 999011
Michel Platini, CAM, Juventus, France, Value: 1250, https://footballmakeshistory.eu/wp-content/uploads/2022/12/Michel_Platini1920x1280.jpg, 999012
Zico (Brazil), CAM, Flamengo, Brazil, Value: 1250, https://best100football.files.wordpress.com/2020/09/zico_brazil.jpg, 999013
Garrincha, RW, Botafogo, Brazil, Value: 1200, https://i0.wp.com/thesefootballtimes.co/wp-content/uploads/2021/08/garrincha.jpg, 999014
Bobby Charlton, CM/CAM, Manchester Utd, England, Value: 1200, https://www.irishnews.com/picturesarchive/irishnews/irishnews/2018/10/10/174404085-fe6c1c91-21db-4228-b1ff-a67390c97714.jpeg, 999015
Paolo Maldini, LB/CB, Milan, Italy, Value: 1200, https://www.sportsnet.ca/wp-content/uploads/2015/06/paolo_maldini720.jpg, 999016
Romário (born 1966), ST, Vasco da Gama/PSV/FC Barcelona, Brazil, Value: 1200, https://copaamerica.com/wp-content/uploads/000_APP2001032829719.jpg, 999017
Giuseppe Meazza, ST, Inter, Italy, Value: 1200, https://icdn.sempreinter.com/wp-content/uploads/2018/08/Meazza-e1535065427823.jpg, 999018
