Florian Wirtz, CAM/CM, Liverpool, Germany, Value: 888, https://cdn.sofifa.net/players/256/630/26_180.png, 256630
Lionel Messi, CAM/ST/RW, Inter Miami, Argentina, Value: 860, https://cdn.sofifa.net/players/158/023/26_180.png, 158023
Cristiano Ronaldo, ST, Al Nassr, Portugal, Value: 850, https://cdn.sofifa.net/players/020/801/26_180.png, 20801
Raphinha, LM/RM/LW, FC Barcelona, Brazil, Value: 890, https://cdn.sofifa.net/players/233/419/26_180.png, 233419
Vinicius Jose De Oliveira Junior, LM/ST/LW, Real Madrid, Brazil, Value: 896, https://cdn.sofifa.net/players/238/794/26_180.png, 238794
Jude Bellingham, CAM/CM/LM, Real Madrid, England, Value: 908, https://cdn.sofifa.net/players/252/371/26_180.png, 252371
Willian Pacho, CB, Paris Saint-Germain, Ecuador, Value: 876, https://cdn.sofifa.net/players/256/196/26_180.png, 256196
Scott Mctominay, CM/CAM/LM/CDM, Napoli, Scotland, Value: 850, https://cdn.sofifa.net/players/237/238/26_180.png, 237238
Erling Haaland, ST, Manchester City, Norway, Value: 914, https://cdn.sofifa.net/players/239/085/26_180.png, 239085
Vitinha, CM/CDM/CAM, Paris Saint-Germain, Portugal, Value: 894, https://cdn.sofifa.net/players/255/253/26_180.png, 255253
João Neves, CM/CDM, Paris Saint-Germain, Portugal, Value: 870, https://cdn.sofifa.net/players/272/834/26_180.png, 272834
Lamine Yamal, RM/RW, FC Barcelona, Spain, Value: 902, https://cdn.sofifa.net/players/277/643/26_180.png, 277643
De Gea, GK, Fiorentina, Spain, Value: 850, https://cdn.sofifa.net/players/193/080/26_180.png, 193080
Joshua Kimmich, CDM/RB/CM, FC Bayern München, Germany, Value: 890, https://cdn.sofifa.net/players/212/622/26_180.png, 212622
Ousmane Dembele, ST/RW/CAM, Paris Saint-Germain, France, Value: 900, https://cdn.sofifa.net/players/231/443/26_180.png, 231443
Alexis Mac Allister, CM/CDM, Liverpool, Argentina, Value: 862, https://cdn.sofifa.net/players/239/837/26_180.png, 239837
Viktor Gyokeres, ST, Arsenal, Sweden, Value: 862, https://cdn.sofifa.net/players/241/651/26_180.png, 241651
Julian Alvarez, ST, Atlético Madrid, Argentina, Value: 876, https://cdn.sofifa.net/players/246/191/26_180.png, 246191
Josko Gvardiol, CB/LB/LM, Manchester City, Croatia, Value: 856, https://cdn.sofifa.net/players/251/517/26_180.png, 251517
Mohamed Salah, RM/RW, Liverpool, Egypt, Value: 900, https://cdn.sofifa.net/players/209/331/26_180.png, 209331
Bruno Fernandes, CM/CAM, Manchester United, Portugal, Value: 870, https://cdn.sofifa.net/players/212/198/26_180.png, 212198
Frenkie De Jong, CM/CDM, FC Barcelona, Netherlands, Value: 870, https://cdn.sofifa.net/players/228/702/26_180.png, 228702
Phil Foden, RW/CM/LW/RM, Manchester City, England, Value: 856, https://cdn.sofifa.net/players/237/692/26_180.png, 237692
Tijjani Reijnders, CM/CDM/CAM, Manchester City, Netherlands, Value: 852, https://cdn.sofifa.net/players/240/638/26_180.png, 240638
Enzo Fernandez, CM/CDM/CAM, Chelsea, Argentina, Value: 856, https://cdn.sofifa.net/players/247/090/26_180.png, 247090
Nico Schlotterbeck, CB, Borussia Dortmund, Germany, Value: 864, https://cdn.sofifa.net/players/247/819/26_180.png, 247819
